,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
3,3,2000-08-19,Derby,Southampton,2,2,D,1,2,A,Andy D'Urso,6,13,4,6,5,8,11,13,1,1,0,0
23,23,2000-08-26,Man City,Coventry,1,2,A,0,2,A,Andy D'Urso,14,9,5,8,5,5,7,12,2,3,0,0
41,41,2000-09-09,Ipswich,Aston Villa,1,2,A,0,1,A,Andy D'Urso,15,5,5,2,5,3,9,13,1,3,0,0
66,66,2000-09-23,Newcastle,Charlton,0,1,A,0,1,A,Andy D'Urso,12,4,5,2,4,7,14,10,1,2,0,0
92,92,2000-10-21,Liverpool,Leicester,1,0,H,0,0,D,Andy D'Urso,24,8,11,3,10,9,8,10,1,2,0,0
104,104,2000-10-28,Man United,Southampton,5,0,H,2,0,H,Andy D'Urso,16,12,8,5,7,7,5,9,0,0,0,0
113,113,2000-04-11,Middlesbrough,Arsenal,0,1,A,0,1,A,Andy D'Urso,4,11,3,8,5,8,10,11,1,1,1,0
130,130,2000-11-18,Derby,Bradford,2,0,H,0,0,D,Andy D'Urso,7,7,3,4,2,4,10,18,3,1,0,0
169,169,2000-12-16,Aston Villa,Man City,2,2,D,0,0,D,Andy D'Urso,10,9,5,4,5,4,8,16,2,1,1,0
196,196,2000-12-26,Newcastle,Leeds,2,1,H,2,1,H,Andy D'Urso,13,8,4,5,7,2,23,17,4,2,0,0
204,204,2000-12-30,Southampton,Derby,1,0,H,0,0,D,Andy D'Urso,10,9,5,5,7,6,17,10,0,2,0,0
