,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
15,15,2000-08-23,Man City,Sunderland,4,2,H,2,0,H,David Ellaray,15,9,10,4,7,3,24,14,3,3,0,0
25,25,2000-08-26,Newcastle,Tottenham,2,0,H,1,0,H,David Ellaray,15,10,6,2,4,2,13,10,0,0,0,0
58,58,2000-09-17,West Ham,Liverpool,1,1,D,0,1,A,David Ellaray,15,7,4,2,9,0,5,13,0,2,0,0
69,69,2000-09-30,Aston Villa,Derby,4,1,H,2,0,H,David Ellaray,12,11,7,6,6,6,0,1,1,1,0,0
81,81,2000-10-14,Everton,Southampton,1,1,D,0,0,D,David Ellaray,7,7,3,4,9,8,16,13,1,3,0,0
111,111,2000-04-11,Leeds,Liverpool,4,3,H,1,2,A,David Ellaray,10,14,7,8,7,7,18,18,1,4,0,0
138,138,2000-11-20,Coventry,Ipswich,0,1,A,0,0,D,David Ellaray,12,10,5,4,5,5,10,12,1,1,0,0
141,141,2000-11-25,Derby,Man United,0,3,A,0,0,D,David Ellaray,1,12,0,7,3,9,12,12,2,1,0,0
150,150,2000-02-12,Aston Villa,Newcastle,1,1,D,1,0,H,David Ellaray,8,9,4,5,8,2,11,12,2,1,0,0
187,187,2000-12-23,Sunderland,Man City,1,0,H,1,0,H,David Ellaray,9,9,5,3,8,6,14,18,2,2,0,0
198,198,2000-12-27,Southampton,Tottenham,2,0,H,2,0,H,David Ellaray,17,7,6,2,4,4,17,13,1,3,0,0
