,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
18,18,2000-08-23,West Ham,Leicester,0,1,A,0,0,D,Rob Styles,17,4,12,2,11,5,16,14,3,3,1,0
36,36,2000-06-09,Derby,Middlesbrough,3,3,D,0,1,A,Rob Styles,9,5,5,4,11,5,8,10,3,2,0,0
50,50,2000-09-16,Aston Villa,Bradford,2,0,H,1,0,H,Rob Styles,12,8,7,4,5,6,8,12,0,2,0,0
70,70,2000-09-30,Charlton,Coventry,2,2,D,0,1,A,Rob Styles,12,10,8,6,6,6,8,16,1,2,0,0
97,97,2000-10-22,Aston Villa,Sunderland,0,0,D,0,0,D,Rob Styles,17,7,4,3,7,3,11,17,1,3,0,0
99,99,2000-10-28,Arsenal,Man City,5,0,H,1,0,H,Rob Styles,22,6,14,2,10,4,6,13,0,3,0,1
123,123,2000-11-11,Leicester,Newcastle,1,1,D,0,0,D,Rob Styles,8,7,4,1,0,3,7,8,1,1,0,0
142,142,2000-11-25,Everton,Chelsea,2,1,H,0,1,A,Rob Styles,11,10,5,6,1,4,11,18,0,3,0,1
154,154,2000-02-12,Liverpool,Charlton,3,0,H,1,0,H,Rob Styles,13,7,3,2,6,5,10,9,1,1,0,0
173,173,2000-12-16,Leeds,Sunderland,2,0,H,1,0,H,Rob Styles,17,17,8,6,8,5,16,20,3,4,0,0
188,188,2000-12-23,Tottenham,Middlesbrough,0,0,D,0,0,D,Rob Styles,16,5,8,0,8,4,22,13,2,3,0,0
