,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
7,7,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,D,Steve Dunn,8,14,2,7,2,9,10,21,3,1,0,1
48,48,2000-11-09,Tottenham,West Ham,1,0,H,0,0,D,Steve Dunn,15,11,7,5,11,3,14,13,1,2,0,0
59,59,2000-09-23,Bradford,Southampton,0,1,A,0,1,A,Steve Dunn,14,6,6,4,7,5,14,18,3,1,0,0
88,88,2000-10-16,Middlesbrough,Newcastle,1,3,A,0,1,A,Steve Dunn,8,15,2,8,6,6,8,13,2,1,0,0
101,101,2000-10-28,Chelsea,Tottenham,3,0,H,2,0,H,Steve Dunn,9,6,7,3,2,3,12,14,3,3,0,0
133,133,2000-11-18,Man City,Man United,0,1,A,0,1,A,Steve Dunn,10,8,4,4,10,11,13,8,3,1,0,0
139,139,2000-11-25,Charlton,Sunderland,0,1,A,0,0,D,Steve Dunn,10,8,2,3,7,8,16,16,0,1,0,0
149,149,2000-02-12,Arsenal,Southampton,1,0,H,0,0,D,Steve Dunn,24,7,12,5,16,8,14,15,0,2,0,0
167,167,2000-10-12,Coventry,Leicester,1,0,H,1,0,H,Steve Dunn,12,6,5,1,8,10,11,15,0,1,0,0
176,176,2000-12-16,Newcastle,Bradford,2,1,H,1,0,H,Steve Dunn,17,7,6,3,4,3,16,17,0,2,0,0
197,197,2000-12-26,West Ham,Charlton,5,0,H,3,0,H,Steve Dunn,17,12,10,8,5,8,19,11,1,0,0,0
