,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
9,9,2000-08-20,Man United,Newcastle,2,0,H,1,0,H,Steve Lodge,19,9,9,6,7,1,7,13,0,1,0,0
19,19,2000-08-26,Arsenal,Charlton,5,3,H,1,2,A,Steve Lodge,18,7,9,4,8,3,12,15,0,1,0,0
57,57,2000-09-17,Man City,Middlesbrough,1,1,D,0,0,D,Steve Lodge,11,4,4,2,9,3,15,11,2,5,0,0
78,78,2000-01-10,Sunderland,Leicester,0,0,D,0,0,D,Steve Lodge,11,8,5,2,6,2,12,8,3,1,0,0
91,91,2000-10-21,Chelsea,Coventry,6,1,H,2,0,H,Steve Lodge,33,3,19,3,10,0,6,8,0,1,0,1
107,107,2000-10-29,Bradford,Leeds,1,1,D,1,0,H,Steve Lodge,11,12,6,9,5,9,15,15,3,4,0,0
117,117,2000-05-11,Everton,Aston Villa,0,1,A,0,0,D,Steve Lodge,14,4,6,1,6,2,17,23,3,2,0,0
119,119,2000-11-11,Arsenal,Derby,0,0,D,0,0,D,Steve Lodge,15,9,9,2,10,0,12,13,0,2,0,0
161,161,2000-09-12,Charlton,Man United,3,3,D,1,2,A,Steve Lodge,15,15,8,8,9,6,6,10,0,1,0,0
195,195,2000-12-26,Middlesbrough,Liverpool,1,0,H,1,0,H,Steve Lodge,7,11,2,5,2,6,7,9,2,2,0,0
